"secs","attention","mytheta","mydelta","mylow_alpha","myhigh_alpha","mylow_beta","myhigh_beta"
"1","0","234257","804827","89488","40203","54017","28337"
"2","0","131697","213097","4181","14091","4303","13154"
"3","0","549486","2018719","134050","140136","187377","151324"
"4","0","181539","785554","44697","59871","62158","46522"
"5","0","40434","743613","51087","56428","50073","24642"
"6","0","28888","1377133","6468","20744","43920","16918"
"7","0","28888","1377133","6468","20744","43920","16918"
"8","0","28888","1377133","6468","20744","43920","16918"
"9","29","31740","174585","39602","14633","3536","9533"
"10","44","23053","1014888","13668","3934","5724","7274"
"11","69","354482","1950543","147463","603294","311718","248863"
"12","84","47873","933542","23024","25298","14311","7720"
"13","84","13707","553809","6498","10392","10636","6483"
"14","78","329938","913266","84388","39009","31096","28095"
"15","87","244295","2267806","157224","179101","255819","251104"
"16","87","381434","807752","103952","54346","20458","8251"
"17","88","67133","130268","16550","33022","48110","37651"
"18","87","32266","162937","7326","13120","8810","3982"
"19","93","34130","261238","3409","3431","7239","5276"
"20","75","30680","11670","22070","17066","26310","6874"
"21","48","67131","42107","9474","11058","5956","2672"
"22","47","35250","631910","10412","5853","8608","3444"
"23","53","149791","1429464","47025","20053","55418","48260"
"24","47","69429","132137","11390","8119","2657","4701"
"25","56","22637","256415","2897","22944","31210","3448"
"26","64","21655","474824","3440","2122","6188","4092"
"27","64","68329","808666","16035","6423","28012","20335"
"28","64","68329","808666","16035","6423","28012","20335"
"29","80","9350","585363","3597","2694","2647","2135"
"30","80","35902","351909","16264","7145","7807","4496"
"31","83","158865","1330150","56691","112145","119332","62993"
"32","81","122512","249952","329862","86350","115961","111358"
"33","81","7430","566268","1217","7619","4182","4424"
"34","81","12157","233516","3329","1206","1828","2053"
"35","90","148320","603844","30063","22061","20513","42872"
"36","90","124293","1258748","23451","20844","54161","36280"
"37","90","1046800","1582932","474738","555200","288059","47632"
"38","90","1046800","1582932","474738","555200","288059","47632"
"39","90","57188","406863","78783","181058","80221","87316"
"40","90","14942","686774","12514","66325","111621","29877"
"41","75","266657","757865","64330","44935","34685","14347"
"42","75","83445","833271","37805","76445","105805","91542"
"43","75","685398","998211","119363","353438","367806","227585"
"44","75","88457","453754","46977","35450","81355","168183"
"45","75","193556","419664","109820","129919","105532","78306"
"46","75","415350","1236940","74195","213385","719761","285055"
"47","75","660573","1596151","192215","179594","443464","272230"
"48","0","44284","1582254","17633","41197","50859","44284"
"49","0","228746","964580","199939","71354","44314","31325"
"50","0","22103","139504","10927","4982","8333","11474"
"51","0","35212","1172763","13749","7666","14846","5826"
"52","0","334713","1882529","100450","206052","98548","127339"
"53","0","629980","1367261","171084","306588","457696","326434"
"54","0","378584","1399261","131715","81987","65138","60231"
"55","75","144600","220936","18627","31465","44965","45616"
"56","75","165782","2606360","60406","41588","104923","83803"
"57","75","73650","1464162","35122","14209","16700","23976"
"58","67","20643","1262041","7019","13258","8012","6277"
"59","51","24236","467192","13480","27843","11670","6949"
"60","43","82915","482209","37263","24956","28733","6483"
"61","24","49781","331471","14509","18587","4520","6285"
"62","3","18240","39728","4791","5730","4055","1048"
"63","3","26635","18353","493","4353","3015","3315"
"64","3","26635","18353","493","4353","3015","3315"
"65","3","26635","18353","493","4353","3015","3315"
"66","20","109599","558857","103123","128042","51998","59646"
"67","20","376533","113310","138923","380639","136903","170975"
"68","20","2078396","803212","272193","182489","174229","246725"
"69","20","457763","1743481","116905","170495","227919","670405"
"70","20","286482","1915069","43963","72946","59834","345759"
"71","0","81433","973111","29207","51977","21196","19057"
"72","0","253613","239337","20679","36923","37046","27369"
"73","0","35933","110261","13658","10399","18042","19468"
"74","0","12137","1445065","3666","4251","216","2967"
"75","0","37366","167720","23479","23263","20341","41391"
"76","0","179333","1467000","86734","311980","91770","126296"
"77","0","57663","1380419","41850","40240","12201","47407"
"78","0","36376","741126","4134","19684","20683","25220"
"79","0","5495","601935","1395","1450","1422","1007"
"80","0","482100","2397471","63308","68536","119686","77622"
"81","0","163423","246058","34016","41314","85302","74193"
"82","0","512515","411126","112036","177159","164757","143120"
"83","0","378592","678981","94560","58713","135473","80232"
"84","0","1008292","1775891","235996","80108","149691","104836"
"85","0","289653","651390","30514","122102","80783","117645"
"86","0","5763","626720","564","569","457","772"
"87","0","5763","626720","564","569","457","772"
"88","0","5763","626720","564","569","457","772"
"89","0","1073475","1399406","339177","210954","372171","405105"
"90","0","98380","1644921","47922","21223","49825","28015"
"91","0","166848","889965","89473","43717","38955","49508"
"92","0","112419","697782","22512","55051","47373","28717"
"93","0","44872","1343426","19587","98592","183815","66953"
"94","38","76815","683993","10318","15833","44921","48035"
"95","43","131622","1457431","26212","45569","35138","18863"
"96","43","239229","246520","68941","52956","36248","37416"
"97","43","678442","1121767","199210","239091","670213","303174"
"98","43","231540","1401381","158833","116107","110499","114819"
"99","43","735131","1272830","112132","126244","388131","107065"
"100","43","711992","2320851","131680","317342","425981","244609"
"101","43","190199","2195460","192964","87747","109709","242439"
"102","43","69637","123288","17971","4619","12603","4392"
"103","43","381161","541045","62783","194112","126489","92789"
"104","26","69564","1121314","4465","3365","4832","3134"
"105","26","40540","70930","36280","19700","16187","35754"
"106","26","77712","1304904","52279","25953","14787","13623"
"107","26","31987","742001","2061","832","3149","4879"
"108","26","1511969","1816864","36430","264950","179995","301472"
"109","26","443758","1521384","167878","26094","89196","70936"
"110","26","9588","545533","1995","3257","1551","2833"
"111","26","9588","545533","1995","3257","1551","2833"
"112","26","54022","1227463","91380","73212","66157","55760"
"113","26","1143588","2990169","2114464","739835","948845","915157"
"114","26","55502","1045827","20738","17344","17946","8354"
"115","26","20688","1340142","4838","8010","4719","1451"
"116","4","38473","94071","7162","5824","2077","2278"
"117","4","38473","94071","7162","5824","2077","2278"
"118","1","90480","433715","37956","11886","32282","2918"
"119","1","303704","2635084","26767","97664","68309","33994"
"120","1","111915","639429","12724","45337","20520","20215"
"121","21","71511","704748","40317","36979","18277","24771"
"122","26","19145","41860","4418","2372","3026","704"
"123","20","59746","55907","8562","3021","5997","3170"
"124","20","294931","1630059","27814","29715","56407","24171"
"125","20","55807","349909","7337","13634","65701","68930"
"126","20","786717","1652329","362503","198672","277227","287043"
"127","20","625047","1186380","924207","115243","236117","149889"
"128","20","156487","586145","40288","5797","19721","72178"
"129","20","39713","552239","31389","42294","53288","44713"
"130","0","208449","568298","9107","126371","141488","92635"
"131","0","55938","443652","11455","13315","16005","35368"
"132","0","178308","585741","184631","26966","120516","132904"
"133","0","434962","545987","272519","143838","184227","128005"
"134","0","434962","545987","272519","143838","184227","128005"
"135","0","49756","104723","5468","7736","25538","28262"
"136","0","209557","2132581","44223","44518","21612","27702"
"137","0","69232","539664","10195","33799","25619","23287"
"138","0","28580","889336","11555","6799","13796","16859"
"139","0","210492","1652074","23470","133192","79141","108085"
"140","0","91120","576459","3205","3523","12083","15948"
"141","0","620614","1117059","184165","401589","412105","343886"
"142","0","668069","777308","217363","216411","119960","168085"
"143","0","121681","474290","27696","20473","9170","6483"
"144","0","350323","1440202","89299","69683","48237","14686"
"145","0","350323","1440202","89299","69683","48237","14686"
"146","0","124562","2559041","83255","190330","211102","140572"
"147","0","743449","2605935","109506","40697","45042","53224"
"148","0","590577","1626553","989321","763707","416333","212344"
"149","0","590577","1626553","989321","763707","416333","212344"
"150","30","155255","1882998","48976","33063","54079","11826"
"151","30","136438","426294","32801","38370","29108","28739"
"152","30","137350","686307","7474","1537","19565","8961"
"153","30","764068","540949","128852","128381","1062271","283642"
"154","30","259319","1978874","104567","35137","13462","60260"
"155","30","112996","1135565","22094","52144","20163","32754"
"156","51","356451","522725","30313","84006","64192","38810"
"157","80","218208","359945","16275","14803","2918","14923"
"158","100","142097","2044654","12072","41274","98925","17254"
"159","100","142097","2044654","12072","41274","98925","17254"
"160","100","879558","528393","73826","135666","69239","131192"
"161","100","80846","1651968","13575","7070","9517","16744"
"162","100","898922","1082915","81202","370413","292451","82878"
