timestamp,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma
09:25.8,49981,18485,2203,3348,2843,3828,975,283653
09:26.2,248562,34394,43707,31096,26100,3059,2784,276485
09:27.2,402575,60387,126781,815289,389268,98961,29350,285189
09:28.3,776964,165939,342270,167262,163568,50990,29209,285189
09:29.2,49981,14169,11089,4748,6453,2407,1037,280069
09:30.2,50818,29069,51550,13414,21102,1028,625,282117
09:31.2,223106,153184,30649,21985,37855,6655,5119,282117
09:32.2,823191,45890,259519,130145,142823,8173,7786,282117
09:33.2,586347,368763,243329,184764,216024,90832,16807,278277
09:34.2,523575,65455,51078,26349,57130,8439,3786,277509
09:35.3,101280,59103,149950,101480,81383,14092,3444,277509
09:36.2,297727,61709,43512,12287,19306,3854,1455,275973
09:37.2,16576,18020,10354,5760,8834,814,267,275973
09:38.2,429499,237547,15668,30716,36629,8608,2465,273157
09:39.2,49651,7549,3904,5364,4902,2122,1157,271109
09:40.2,273351,135902,26898,34141,20339,4885,3962,269061
09:41.2,68760,9970,25919,15712,16996,4400,3446,272645
09:42.2,345312,15191,53209,11335,9752,5048,846,270853
09:43.2,28374,9072,3649,11973,6049,1770,1854,272389
09:44.3,76704,58964,28997,4322,4673,2761,1020,271109
09:45.2,182192,57783,9300,11253,11690,3683,569,267269
09:46.3,197284,36294,21738,15671,21887,11719,1422,270853
09:47.2,116204,2704,9147,3833,3911,2680,322,266245
09:48.2,179679,5316,6871,17687,11714,6623,3269,268293
09:49.2,203112,36437,31762,29323,29919,21487,4033,271109
09:50.2,128251,21320,13848,20579,16608,2203,1217,271877
09:51.2,15124,1946,1952,2905,1834,725,276,274949
09:52.2,282966,77529,79883,64899,37178,5585,2496,275973
09:53.3,99113,18421,29155,6404,56710,9295,1548,275973
09:54.2,21372,4918,7094,8482,3668,1324,593,275973
09:55.2,50629,43662,30685,62236,136524,3496,2800,281093
09:56.2,906560,411930,219168,117289,175432,45132,40763,280069
09:57.2,159621,14974,28564,31248,15323,19181,3597,279045
09:58.2,779674,341995,253508,224446,89884,62612,21797,277509
09:59.2,16720,7048,6558,22284,15057,5132,663,275717
10:00.3,890604,85199,102922,457517,172514,69169,9757,275973
10:01.2,8175,5491,2333,9393,3961,382,905,279045
10:02.2,24603,6135,19441,10421,10784,3491,549,281861
10:03.2,836744,158998,142401,90823,86155,77667,7187,277509
10:04.3,849240,210681,196872,435037,578162,39507,8934,279813
10:05.2,896533,283583,108561,197357,139337,29287,16490,278277
10:06.2,76342,41861,19452,50549,76846,5465,1901,280069
10:07.2,53155,28852,16172,13880,14892,3517,601,282117
10:08.2,26526,7099,5160,5148,2502,877,444,277509
10:09.2,23803,14762,12502,9283,9316,2732,499,278533
10:10.2,23211,29100,10470,5417,10892,2720,893,275717
10:11.3,1570844,178124,134038,184930,197659,49364,13369,274949
10:12.2,439103,88664,24442,23567,48669,20394,2078,275717
10:13.2,35803,3140,1999,2251,1926,1218,205,272389
10:14.2,222745,65034,45800,97743,56845,7351,3103,272389
10:15.2,15474,7734,6920,8906,4402,1725,1226,273157
10:16.3,68674,11529,19199,13536,9840,1947,353,273413
10:17.2,31127,205239,59808,25480,39835,18926,3016,275717
10:18.3,141966,54977,28392,61716,21763,14326,5009,274437
10:19.2,74044,17088,12288,16058,5442,1586,697,271877
10:20.2,309767,44149,122173,34925,47241,8592,4112,271877
10:21.2,481192,18339,62860,81572,41348,13494,2782,271109
10:22.2,352587,89915,93890,70833,84063,32246,5308,271877
10:23.2,111295,50036,33250,37534,26812,20122,2047,274437
10:24.2,27724,7871,19899,8607,26057,3524,1259,277765
10:25.3,357803,289547,315103,158394,359402,108865,20624,281861
10:26.2,112675,30685,17710,7337,13201,5792,2978,280069
